,id,count,date,year,month,species
0,OE,0,Jan-2022,2022,Jan,Accipiter sp.
1,WD,0,Jan-2022,2022,Jan,Accipiter sp.
2,SR,0,Jan-2022,2022,Jan,Accipiter sp.
3,TD1,0,Jan-2022,2022,Jan,Accipiter sp.
4,TD2,0,Jan-2022,2022,Jan,Accipiter sp.
5,TD3,0,Jan-2022,2022,Jan,Accipiter sp.
6,EF1,0,Jan-2022,2022,Jan,Accipiter sp.
7,EF2,0,Jan-2022,2022,Jan,Accipiter sp.
8,CC,0,Jan-2022,2022,Jan,Accipiter sp.
9,CS,0,Jan-2022,2022,Jan,Accipiter sp.
10,EC,0,Jan-2022,2022,Jan,Accipiter sp.
11,EM,0,Jan-2022,2022,Jan,Accipiter sp.
12,BP,0,Jan-2022,2022,Jan,Accipiter sp.
13,NF1,0,Jan-2022,2022,Jan,Accipiter sp.
14,NF2,0,Jan-2022,2022,Jan,Accipiter sp.
15,SA,1,Jan-2022,2022,Jan,Accipiter sp.
16,IM,0,Jan-2022,2022,Jan,Accipiter sp.
17,MC1,0,Jan-2022,2022,Jan,Accipiter sp.
18,MC2,0,Jan-2022,2022,Jan,Accipiter sp.
19,DW,0,Jan-2022,2022,Jan,Accipiter sp.
0,OE,0,Jan-2022,2022,Jan,American Coot
1,WD,0,Jan-2022,2022,Jan,American Coot
2,SR,0,Jan-2022,2022,Jan,American Coot
3,TD1,0,Jan-2022,2022,Jan,American Coot
4,TD2,0,Jan-2022,2022,Jan,American Coot
5,TD3,0,Jan-2022,2022,Jan,American Coot
6,EF1,0,Jan-2022,2022,Jan,American Coot
7,EF2,0,Jan-2022,2022,Jan,American Coot
8,CC,4,Jan-2022,2022,Jan,American Coot
9,CS,1,Jan-2022,2022,Jan,American Coot
10,EC,0,Jan-2022,2022,Jan,American Coot
11,EM,0,Jan-2022,2022,Jan,American Coot
12,BP,0,Jan-2022,2022,Jan,American Coot
13,NF1,0,Jan-2022,2022,Jan,American Coot
14,NF2,0,Jan-2022,2022,Jan,American Coot
15,SA,0,Jan-2022,2022,Jan,American Coot
16,IM,0,Jan-2022,2022,Jan,American Coot
17,MC1,0,Jan-2022,2022,Jan,American Coot
18,MC2,0,Jan-2022,2022,Jan,American Coot
19,DW,0,Jan-2022,2022,Jan,American Coot
0,OE,0,Jan-2022,2022,Jan,American Dipper
1,WD,0,Jan-2022,2022,Jan,American Dipper
2,SR,0,Jan-2022,2022,Jan,American Dipper
3,TD1,0,Jan-2022,2022,Jan,American Dipper
4,TD2,0,Jan-2022,2022,Jan,American Dipper
5,TD3,0,Jan-2022,2022,Jan,American Dipper
6,EF1,0,Jan-2022,2022,Jan,American Dipper
7,EF2,0,Jan-2022,2022,Jan,American Dipper
8,CC,0,Jan-2022,2022,Jan,American Dipper
9,CS,0,Jan-2022,2022,Jan,American Dipper
10,EC,0,Jan-2022,2022,Jan,American Dipper
11,EM,0,Jan-2022,2022,Jan,American Dipper
12,BP,0,Jan-2022,2022,Jan,American Dipper
13,NF1,0,Jan-2022,2022,Jan,American Dipper
14,NF2,0,Jan-2022,2022,Jan,American Dipper
15,SA,0,Jan-2022,2022,Jan,American Dipper
16,IM,0,Jan-2022,2022,Jan,American Dipper
17,MC1,2,Jan-2022,2022,Jan,American Dipper
18,MC2,0,Jan-2022,2022,Jan,American Dipper
19,DW,0,Jan-2022,2022,Jan,American Dipper
0,OE,0,Jan-2022,2022,Jan,American Wigeon
1,WD,0,Jan-2022,2022,Jan,American Wigeon
2,SR,0,Jan-2022,2022,Jan,American Wigeon
3,TD1,0,Jan-2022,2022,Jan,American Wigeon
4,TD2,0,Jan-2022,2022,Jan,American Wigeon
5,TD3,0,Jan-2022,2022,Jan,American Wigeon
6,EF1,12,Jan-2022,2022,Jan,American Wigeon
7,EF2,0,Jan-2022,2022,Jan,American Wigeon
8,CC,8,Jan-2022,2022,Jan,American Wigeon
9,CS,0,Jan-2022,2022,Jan,American Wigeon
10,EC,0,Jan-2022,2022,Jan,American Wigeon
11,EM,8,Jan-2022,2022,Jan,American Wigeon
12,BP,2,Jan-2022,2022,Jan,American Wigeon
13,NF1,0,Jan-2022,2022,Jan,American Wigeon
14,NF2,0,Jan-2022,2022,Jan,American Wigeon
15,SA,0,Jan-2022,2022,Jan,American Wigeon
16,IM,0,Jan-2022,2022,Jan,American Wigeon
17,MC1,0,Jan-2022,2022,Jan,American Wigeon
18,MC2,0,Jan-2022,2022,Jan,American Wigeon
19,DW,0,Jan-2022,2022,Jan,American Wigeon
0,OE,0,Jan-2022,2022,Jan,Anna's Hummingbird
1,WD,0,Jan-2022,2022,Jan,Anna's Hummingbird
2,SR,0,Jan-2022,2022,Jan,Anna's Hummingbird
3,TD1,0,Jan-2022,2022,Jan,Anna's Hummingbird
4,TD2,0,Jan-2022,2022,Jan,Anna's Hummingbird
5,TD3,0,Jan-2022,2022,Jan,Anna's Hummingbird
6,EF1,0,Jan-2022,2022,Jan,Anna's Hummingbird
7,EF2,0,Jan-2022,2022,Jan,Anna's Hummingbird
8,CC,0,Jan-2022,2022,Jan,Anna's Hummingbird
9,CS,0,Jan-2022,2022,Jan,Anna's Hummingbird
10,EC,0,Jan-2022,2022,Jan,Anna's Hummingbird
11,EM,0,Jan-2022,2022,Jan,Anna's Hummingbird
12,BP,0,Jan-2022,2022,Jan,Anna's Hummingbird
13,NF1,0,Jan-2022,2022,Jan,Anna's Hummingbird
14,NF2,0,Jan-2022,2022,Jan,Anna's Hummingbird
15,SA,0,Jan-2022,2022,Jan,Anna's Hummingbird
16,IM,0,Jan-2022,2022,Jan,Anna's Hummingbird
17,MC1,0,Jan-2022,2022,Jan,Anna's Hummingbird
18,MC2,0,Jan-2022,2022,Jan,Anna's Hummingbird
19,DW,1,Jan-2022,2022,Jan,Anna's Hummingbird
0,OE,0,Jan-2022,2022,Jan,Bald Eagle
1,WD,1,Jan-2022,2022,Jan,Bald Eagle
2,SR,1,Jan-2022,2022,Jan,Bald Eagle
3,TD1,0,Jan-2022,2022,Jan,Bald Eagle
4,TD2,0,Jan-2022,2022,Jan,Bald Eagle
5,TD3,2,Jan-2022,2022,Jan,Bald Eagle
6,EF1,0,Jan-2022,2022,Jan,Bald Eagle
7,EF2,0,Jan-2022,2022,Jan,Bald Eagle
8,CC,0,Jan-2022,2022,Jan,Bald Eagle
9,CS,0,Jan-2022,2022,Jan,Bald Eagle
10,EC,0,Jan-2022,2022,Jan,Bald Eagle
